Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceParty;ResourcePartyCategory;ResourceRequested;ResourceCompleted;ResourceFailed
test;1467645779269;http;www.nu.nl;"/";16;"image/jpeg";"http://media.nu.nl/m/lkdxeltaa5x7_sqr64.jpg";media.nu.nl;"/m/lkdxeltaa5x7_sqr64.jpg";"";"";404;467;0
test;1467645779269;http;www.nu.nl;"/";17;"image/jpeg";"http://media.nu.nl/m/aitx1lkajdhr_sqr64.jpg";media.nu.nl;"/m/aitx1lkajdhr_sqr64.jpg";"";"";404;466;0
test;1467645779269;http;www.nu.nl;"/";18;"image/jpeg";"http://media.nu.nl/m/eisxxv1auwqt_sqr64.jpg";media.nu.nl;"/m/eisxxv1auwqt_sqr64.jpg";"";"";405;468;0
test;1467645779269;http;www.nu.nl;"/";19;"image/jpeg";"http://media.nu.nl/m/oyvx1vda7qmk_sqr64.jpg";media.nu.nl;"/m/oyvx1vda7qmk_sqr64.jpg";"";"";405;468;0
test;1467645779269;http;www.nu.nl;"/";20;"image/jpeg";"http://media.nu.nl/m/4g6x2s3a5ebj_std640.jpg";media.nu.nl;"/m/4g6x2s3a5ebj_std640.jpg";"";"";406;472;0
test;1467645779269;http;www.nu.nl;"/";21;"image/jpeg";"http://media.nu.nl/m/m1oxfnia25hh_wd320.jpg";media.nu.nl;"/m/m1oxfnia25hh_wd320.jpg";"";"";406;472;0
test;1467645779269;http;www.nu.nl;"/";22;"image/jpeg";"http://media.nu.nl/m/4juxbhuah027_std160.jpg";media.nu.nl;"/m/4juxbhuah027_std160.jpg";"";"";407;471;0
test;1467645779269;http;www.nu.nl;"/";23;"image/png";"http://www.nu.nl/static/img/placeholders/230x240-o.png";www.nu.nl;"/static/img/placeholders/230x240-o.png";"";"";407;460;0
test;1467645779269;http;www.nu.nl;"/";24;"image/png";"http://www.nu.nl/static/img/placeholders/sqr256-o.png";www.nu.nl;"/static/img/placeholders/sqr256-o.png";"";"";407;461;0
test;1467645779269;http;www.nu.nl;"/";25;"image/png";"http://www.nu.nl/static/img/placeholders/std320-o.png";www.nu.nl;"/static/img/placeholders/std320-o.png";"";"";408;462;0
test;1467645779269;http;www.nu.nl;"/";26;"image/png";"http://www.nu.nl/static/img/placeholders/wd640-o.png";www.nu.nl;"/static/img/placeholders/wd640-o.png";"";"";408;463;0
test;1467645779269;http;www.nu.nl;"/";27;"image/gif";"http://www.google-analytics.com/r/collect?v=1&_v=j44&a=1968941607&t=pageview&_s=1&dl=http%3A%2F%2Fwww.nu.nl%2F&ul=en-us&de=UTF-8&dt=NU%20-%20Het%20laatste%20nieuws%20het%20eerst%20op%20NU.nl&sd=32-bit&sr=1024x768&vp=640x1136&je=0&_u=QEAAAAQAI~&jid=1130922269&cid=1186414794.1467645780&tid=UA-10557259-1&_r=1&cd1=2-kolom-smal&cd2=&z=1147542357";www.google-analytics.com;"/r/collect";"";"";439;464;0
test;1467645779269;http;www.nu.nl;"/";28;"application/octet-stream";"http://www.nu.nl/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf?v=4.3.0&706450d7bba6";www.nu.nl;"/static/vendor/fontawesome/fonts/fontawesome-webfont.ttf";"";"";469;505;0
test;1467645779269;http;www.nu.nl;"/";29;"image/svg+xml";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg?f1c0e2bda699#nunl";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.svg";"";"";506;536;0
test;1467645779269;http;www.nu.nl;"/";30;"application/octet-stream";"http://www.nu.nl/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf?fa340be26897";www.nu.nl;"/static/vendor/fontcustom/fonts/nunl_1077598ee2fd6b2c595b96bce226c2fc.ttf";"";"";506;537;0
test;1467645779269;http;www.nu.nl;"/";31;"image/png";"http://www.nu.nl/static/img/atoms/forms/shared/inputbg.png?1fbd14092970";www.nu.nl;"/static/img/atoms/forms/shared/inputbg.png";"";"";691;711;0
test;1467645779269;http;www.nu.nl;"/";33;"application/x-javascript";"http://sb.scorecardresearch.com/c2/6035634/cs.js";sb.scorecardresearch.com;"/c2/6035634/cs.js";"";"";710;726;0
test;1467645779269;http;www.nu.nl;"/";34;"undefined";"http://b.scorecardresearch.com/b2?c1=2&c2=6035634&ns_site=total&nb_01=Sanoma%7CSBS&nb_02=Sanoma&nb_11=web&nb_12=nu.nl&nb_25=NU.nl&nb_26=&nb_27=Nieuws%20en%20actualiteit&nb_28=index&nb_29=general&ns__t=1467645779977&ns_c=UTF-8&c8=NU%20-%20Het%20laatste%20nieuws%20het%20eerst%20op%20NU.nl&c7=http%3A%2F%2Fwww.nu.nl%2F&c9=";b.scorecardresearch.com;"/b2";"";"";725;963;0
test;1467645779269;http;www.nu.nl;"/";35;"application/json";"http://www.nu.nl/api/config/account_pages";www.nu.nl;"/api/config/account_pages";"";"";767;970;0
test;1467645779269;http;www.nu.nl;"/";36;"application/x-javascript";"http://account.sanomaservices.nl/js/sanoma_account.min.js";account.sanomaservices.nl;"/js/sanoma_account.min.js";"";"";789;976;0
test;1467645779269;http;www.nu.nl;"/";37;"image/jpeg";"http://media.nu.nl/m/d18xrmqapion_std640.jpg/nigel-farage-treedt-af-als-partijleider-van-britse-ukip.jpg";media.nu.nl;"/m/d18xrmqapion_std640.jpg/nigel-farage-treedt-af-als-partijleider-van-britse-ukip.jpg";"";"";861;977;0
test;1467645779269;http;www.nu.nl;"/";38;"image/jpeg";"http://media.nu.nl/m/h5cxw7uafqoj_std320.jpg";media.nu.nl;"/m/h5cxw7uafqoj_std320.jpg";"";"";964;1057;0
test;1467645779269;http;www.nu.nl;"/";39;"image/jpeg";"http://media.nu.nl/m/i0vx6d8a7xca_std320.jpg";media.nu.nl;"/m/i0vx6d8a7xca_std320.jpg";"";"";965;1061;0
test;1467645779269;http;www.nu.nl;"/";40;"image/jpeg";"http://media.nu.nl/m/lu5xbxvazzms_std320.jpg";media.nu.nl;"/m/lu5xbxvazzms_std320.jpg";"";"";965;1066;0
test;1467645779269;http;www.nu.nl;"/";41;"image/jpeg";"http://media.nu.nl/m/380xtk2aacvs_std320.jpg";media.nu.nl;"/m/380xtk2aacvs_std320.jpg";"";"";965;1062;0
test;1467645779269;http;www.nu.nl;"/";42;"image/jpeg";"http://media.nu.nl/m/xf9xbe1a0nz7_std320.jpg";media.nu.nl;"/m/xf9xbe1a0nz7_std320.jpg";"";"";966;1061;0
test;1467645779269;http;www.nu.nl;"/";43;"image/jpeg";"http://media.nu.nl/m/m1mxgpja3b3a_std320.jpg";media.nu.nl;"/m/m1mxgpja3b3a_std320.jpg";"";"";966;1067;0
test;1467645779269;http;www.nu.nl;"/";44;"image/jpeg";"http://media.nu.nl/m/3iyxbh5agb6l_std320.jpg";media.nu.nl;"/m/3iyxbh5agb6l_std320.jpg";"";"";966;1059;0
test;1467645779269;http;www.nu.nl;"/";45;"image/jpeg";"http://media.nu.nl/m/uvcx8ypa2e76_std320.jpg";media.nu.nl;"/m/uvcx8ypa2e76_std320.jpg";"";"";967;1069;0
test;1467645779269;http;www.nu.nl;"/";46;"image/jpeg";"http://media.nu.nl/m/7lnx2rwa72si_std320.jpg";media.nu.nl;"/m/7lnx2rwa72si_std320.jpg";"";"";967;1068;0
test;1467645779269;http;www.nu.nl;"/";47;"image/jpeg";"http://media.nu.nl/m/ylfx7icap0os_std320.jpg";media.nu.nl;"/m/ylfx7icap0os_std320.jpg";"";"";967;1064;0
test;1467645779269;http;www.nu.nl;"/";48;"image/jpeg";"http://media.nu.nl/m/27dxg34azwvj_wd640.jpg";media.nu.nl;"/m/27dxg34azwvj_wd640.jpg";"";"";968;1069;0
test;1467645779269;http;www.nu.nl;"/";49;"image/gif";"http://www.nu.nl/static/vendor/royalslider/img/preloader-white.gif?b79d10cfc46b";www.nu.nl;"/static/vendor/royalslider/img/preloader-white.gif";"";"";968;1063;0
test;1467645779269;http;www.nu.nl;"/";50;"image/png";"http://www.nu.nl/static/vendor/royalslider/img/rs-default.png?0e40b16b1d60";www.nu.nl;"/static/vendor/royalslider/img/rs-default.png";"";"";968;1065;0
test;1467645779269;http;www.nu.nl;"/";51;"text/javascript";"https://cdns.gigya.com/js/gigya.js?apiKey=3_pNK9L9zU_Sx2BKzTUJuAmy1im2zN0pOkwM-Ui3AgrneVzSpyQqioWy_iZ1cbQzS5&lang=nl-inf";cdns.gigya.com;"/js/gigya.js";"";"";1055;1141;0
test;1467645779269;http;www.nu.nl;"/";52;"text/html";"https://cdns.gigya.com/gs/sso.htm?APIKey=3_aWOpZXJURMRPH05pBUwusoKBU1E10WxtZFx5zoF3AheB5Sx28aa242B23V1t9iAw&version=1#m=getToken&d=http%3A%2F%2Fwww.nu.nl&lid=flid1467645780420&callbackID=gig_sso_cb1467645780435_0&sAPIKey=3_pNK9L9zU_Sx2BKzTUJuAmy1im2zN0pOkwM-Ui3AgrneVzSpyQqioWy_iZ1cbQzS5";cdns.gigya.com;"/gs/sso.htm";"";"";1175;1194;0
test;1467645779269;http;www.nu.nl;"/";53;"application/javascript";"http://js-agent.newrelic.com/nr-952.min.js";js-agent.newrelic.com;"/nr-952.min.js";"";"";1176;1198;0
test;1467645779269;http;www.nu.nl;"/";55;"text/javascript";"http://bam.nr-data.net/1/4702f272e2?a=15572069&v=952.3a19e93&to=YgdVbUYHW0tWURFYXVtNcUxaBUFRWFxKUkdHEFJXQDlGUUNXS0dbUBVEF1cJR10NegpcV2UDUFxiD1BPGVUARQ%3D%3D&rst=1203&ref=http://www.nu.nl/&ap=854&be=95&fe=1080&dc=694&af=err,xhr,ins&perf=%7B%22timing%22:%7B%22of%22:1467645779270,%22n%22:0,%22f%22:0,%22dn%22:0,%22dne%22:0,%22c%22:0,%22ce%22:0,%22rq%22:0,%22rp%22:0,%22rpe%22:122,%22dl%22:91,%22di%22:788,%22ds%22:788,%22de%22:939,%22dc%22:1174,%22l%22:1174,%22le%22:1177%7D,%22navigation%22:%7B%7D%7D&jsonp=NREUM.setToken";bam.nr-data.net;"/1/4702f272e2";"";"";1206;1457;0
test;1467645779269;http;www.nu.nl;"/";57;"image/gif";"http://privacy.www.nu.nl/pixel/9HIpZOIEsKpTYExfwKE3tieqPOTKJmV51j_za89z0YRIDr5fTXCcN9jzj576zZsyiDCZ0s3mEVOr1g4PplglNQ%253D%253D";privacy.www.nu.nl;"/pixel/9HIpZOIEsKpTYExfwKE3tieqPOTKJmV51j_za89z0YRIDr5fTXCcN9jzj576zZsyiDCZ0s3mEVOr1g4PplglNQ%253D%253D";"";"";1278;1312;0
test;1467645779269;http;www.nu.nl;"/";59;"application/x-javascript";"http://connect.facebook.net/nl_INF/sdk.js";connect.facebook.net;"/nl_INF/sdk.js";"Facebook Connect";"interests";1340;1455;0
test;1467645779269;http;www.nu.nl;"/";60;"text/javascript";"http://privacy.www.nu.nl/script/cookiebar.js";privacy.www.nu.nl;"/script/cookiebar.js";"";"";1342;1380;0
test;1467645779269;http;www.nu.nl;"/";61;"image/png";"http://bin.snmmd.nl/m/m1nx5sqrhbgz.png";bin.snmmd.nl;"/m/m1nx5sqrhbgz.png";"";"";1384;1527;0
test;1467645779269;http;www.nu.nl;"/";63;"image/gif";"http://logc210.xiti.com/hit.xiti?s=518538&s2=1&p=nu.nl_grotebalk%3A%3Aingeklapt&di=&ac=&an=&trn=1467645780719&Rdt=On";logc210.xiti.com;"/hit.xiti";"";"";1527;1603;0
test;1467645779269;http;www.nu.nl;"/";64;"image/gif";"http://sat.sanoma.fi/sat/sat.gif?log=1&evt=con&cid=&c_ver=2015.09.29.12.34.31%209311d11&c_events=0&c_session=q30ttwjnzs&c_id=f08txu76ei&c_scroll=0x0&eid=&sit=nunl&cha=web&cat=home&c_vmspot=undefined_51032795&c_screen=1024x768&c_viewport=640x1136&c_referrer=&c_currenturl=http%3A%2F%2Fwww.nu.nl%2F&c_hash=&rid=1467645779761&cb=1467645780800&ctz=0";sat.sanoma.fi;"/sat/sat.gif";"";"";1531;1603;0
test;1467645779269;http;www.nu.nl;"/";65;"image/gif";"https://www.facebook.com/impression.php/f315a72fec/?api_key=697815077019842&lid=115&payload=%7B%22source%22%3A%22jssdk%22%7D";www.facebook.com;"/impression.php/f315a72fec/";"";"";1536;1654;0
test;1467645779269;http;www.nu.nl;"/";66;"text/html";"http://staticxx.facebook.com/connect/xd_arbiter.php?version=42#channel=f1983f2658&origin=http%3A%2F%2Fwww.nu.nl";staticxx.facebook.com;"/connect/xd_arbiter.php";"";"";1550;1616;0
test;1467645779269;http;www.nu.nl;"/";67;"text/html";"https://staticxx.facebook.com/connect/xd_arbiter.php?version=42#channel=f1983f2658&origin=http%3A%2F%2Fwww.nu.nl";staticxx.facebook.com;"/connect/xd_arbiter.php";"";"";1551;1641;0
test;1467645779269;http;www.nu.nl;"/";69;"text/html";"http://staticxx.facebook.com/connect/xd_arbiter.php?version=42#cb=f117570e7c&domain=www.nu.nl&origin=http%3A%2F%2Fwww.nu.nl%2Ff1983f2658&relation=parent&error=unknown_user";staticxx.facebook.com;"/connect/xd_arbiter.php";"";"";1672;1689;0
test;1467645779269;http;www.nu.nl;"/";70;"undefined";"http://gscounters.eu1.gigya.com/gscounters.sendReport?reports=%5B%7B%22name%22%3A%22loadc%22%2C%22time%22%3A%221467645780438%22%2C%22reportData%22%3A%7B%22sref%22%3A%22%22%7D%7D%5D&APIKey=3_pNK9L9zU_Sx2BKzTUJuAmy1im2zN0pOkwM-Ui3AgrneVzSpyQqioWy_iZ1cbQzS5&sdk=js_6.3.02&format=jsonp&callback=gigya._.apiAdapters.web.callback&context=R752129608";gscounters.eu1.gigya.com;"/gscounters.sendReport";"";"";6169;0;0
